S_INFO_WINDCODE,S_INFO_NAME,S_INFO_LISTDATE,S_INFO_DELISTDATE
000558.SZ,莱茵体育,19940509,null
000559.SZ,万向钱潮,19940110,null
000560.SZ,我爱我家,19940202,null
000561.SZ,烽火电子,19940509,null
000562.SZ,宏源证券,19940202,20150126
000563.SZ,陕国投A,19940110,null
000564.SZ,供销大集,19940110,null
000565.SZ,渝三峡A,19940408,null
000566.SZ,海南海药,19940525,null
000567.SZ,海德股份,19940525,null
000568.SZ,泸州老窖,19940509,null
000569.SZ,长城股份,19940425,20090506
000570.SZ,苏常柴A,19940701,null
000571.SZ,新大洲A,19940525,null
000572.SZ,海马汽车,19940808,null
000573.SZ,粤宏远A,19940815,null
000576.SZ,甘化科工,19940907,null
000578.SZ,盐湖集团,19950303,20110322
000581.SZ,威孚高科,19980924,null
000582.SZ,北部湾港,19951102,null
000583.SZ,S*ST托普,19951101,20070521
000584.SZ,*ST工智,19951128,null
000585.SZ,东电退,19951213,20220524
000586.SZ,汇源通信,19951220,null
000587.SZ,*ST金洲,19960425,20230403
000588.SZ,PT粤金曼,19960123,20010615
000589.SZ,贵州轮胎,19960308,null
000590.SZ,启迪药业,19960119,null
000591.SZ,太阳能,19960208,null
000592.SZ,平潭发展,19960327,null
000593.SZ,德龙汇能,19960312,null
000594.SZ,国恒退,19960320,20150713
000595.SZ,宝塔实业,19960419,null
000596.SZ,古井贡酒,19960927,null
000597.SZ,东北制药,19960523,null
000598.SZ,兴蓉环境,19960529,null
000599.SZ,青岛双星,19960430,null
000600.SZ,建投能源,19960606,null
000601.SZ,韶能股份,19960830,null
000602.SZ,金马集团,19960819,20130814
000603.SZ,盛达资源,19960823,null
000605.SZ,渤海股份,19960913,null
000606.SZ,顺利退,19961004,20230706
000607.SZ,华媒控股,19960830,null
000608.SZ,阳光股份,19960919,null
000609.SZ,*ST中迪,19961010,null
000610.SZ,西安旅游,19960926,null
000611.SZ,天首退,19961008,20220628
000612.SZ,焦作万方,19960926,null
000613.SZ,东海A退,19970128,20220629
000615.SZ,ST美谷,19961016,null
000616.SZ,*ST海投,19961108,20230823
000617.SZ,中油资本,19961022,null
000618.SZ,吉林化工,19961015,20060220
000619.SZ,海螺新材,19961023,null
000620.SZ,新华联,19961029,null
000621.SZ,*ST比特,19961105,20040927
000622.SZ,*ST恒立,19961107,null
000623.SZ,吉林敖东,19961028,null
000625.SZ,长安汽车,19970610,null
000626.SZ,远大控股,19961128,null
000627.SZ,天茂集团,19961112,null
000628.SZ,高新发展,19961118,null
000629.SZ,钒钛股份,19961115,null
000630.SZ,铜陵有色,19961120,null
000631.SZ,顺发恒业,19961122,null
000632.SZ,三木集团,19961121,null
000633.SZ,合金投资,19961112,null
000635.SZ,英力特,19961120,null
000636.SZ,风华高科,19961129,null
000637.SZ,茂化实华,19961114,null
000638.SZ,万方发展,19961126,null
000639.SZ,西王食品,19961126,null
000650.SZ,仁和药业,19961210,null
000651.SZ,格力电器,19961118,null
000652.SZ,泰达股份,19961128,null
000653.SZ,ST九州,19961126,20020913
000655.SZ,金岭矿业,19961128,null
000656.SZ,*ST金科,19961128,null
000657.SZ,中钨高新,19961205,null
000658.SZ,ST海洋,19961218,20020920
000659.SZ,珠海中富,19961203,null
000660.SZ,*ST南华,19961209,20040913
000661.SZ,长春高新,19961218,null
000662.SZ,天夏退,19961216,20210412
000663.SZ,永安林业,19961206,null
000665.SZ,湖北广电,19961210,null
000666.SZ,经纬纺机,19961210,20231026
000667.SZ,ST美置,19961205,20230714
000668.SZ,荣丰控股,19961210,null
000669.SZ,ST金鸿,19961210,null
000670.SZ,盈方微,19961217,null
000671.SZ,ST阳光城,19961218,20230816
000672.SZ,上峰水泥,19961218,null
000673.SZ,当代退,19970124,20220704
000675.SZ,ST银山,19961226,20020820
000676.SZ,智度股份,19961224,null
000677.SZ,恒天海龙,19961226,null
000678.SZ,襄阳轴承,19970106,null
000679.SZ,大连友谊,19970124,null
000680.SZ,山推股份,19970122,null
000681.SZ,视觉中国,19970121,null
000682.SZ,东方电子,19970121,null
000683.SZ,远兴能源,19970131,null
000685.SZ,中山公用,19970123,null
000686.SZ,东北证券,19970227,null
000687.SZ,华讯退,19970221,20220617
000688.SZ,国城矿业,19970120,null
000689.SZ,ST宏业,19961231,20020905
000690.SZ,宝新能源,19970128,null
000691.SZ,亚太实业,19970228,null
000692.SZ,惠天热电,19970227,null
000693.SZ,华泽退,19970226,20190709
000695.SZ,滨海能源,19970218,null
000697.SZ,炼石航空,19970325,null
000698.SZ,沈阳化工,19970220,null
000699.SZ,S*ST佳纸,19970310,20070404
000700.SZ,模塑科技,19970228,null
000701.SZ,厦门信达,19970226,null
000702.SZ,正虹科技,19970318,null
000703.SZ,恒逸石化,19970328,null
000705.SZ,浙江震元,19970410,null
000707.SZ,双环科技,19970415,null
000708.SZ,中信特钢,19970326,null
000709.SZ,河钢股份,19970416,null
000710.SZ,贝瑞基因,19970422,null
000711.SZ,*ST京蓝,19970411,null
000712.SZ,锦龙股份,19970415,null
000713.SZ,丰乐种业,19970422,null
000715.SZ,中兴商业,19970508,null
000716.SZ,黑芝麻,19970418,null
000717.SZ,中南股份,19970508,null
000718.SZ,苏宁环球,19970408,null
000719.SZ,中原传媒,19970331,null
000720.SZ,新能泰山,19970509,null
000721.SZ,西安饮食,19970430,null
000722.SZ,湖南发展,19970522,null
000723.SZ,美锦能源,19970515,null
000725.SZ,京东方A,20010112,null
000726.SZ,鲁泰A,20001225,null
000727.SZ,冠捷科技,19970520,null
000728.SZ,国元证券,19970616,null
000729.SZ,燕京啤酒,19970716,null
000730.SZ,*ST环保,19970522,20040924
000731.SZ,四川美丰,19970617,null
000732.SZ,ST泰禾,19970704,20230804
000733.SZ,振华科技,19970703,null
000735.SZ,罗牛山,19970611,null
000736.SZ,中交地产,19970425,null
000737.SZ,北方铜业,19970428,null
000738.SZ,航发控制,19970626,null
000739.SZ,普洛药业,19970509,null
000748.SZ,长城信息,19970704,20170118
000750.SZ,国海证券,19970709,null
000751.SZ,锌业股份,19970626,null
000752.SZ,ST西发,19970625,null
000753.SZ,漳州发展,19970626,null
000755.SZ,山西高速,19970627,null
000756.SZ,新华制药,19970806,null
000757.SZ,浩物股份,19970627,null
000758.SZ,中色股份,19970416,null
000759.SZ,中百集团,19970519,null
000760.SZ,斯太退,19970627,20210723
000761.SZ,本钢板材,19980115,null
000762.SZ,西藏矿业,19970708,null
000763.SZ,锦州石化,19970915,20060104
000765.SZ,*ST华信,19971103,20050704
000766.SZ,通化金马,19970430,null
000767.SZ,晋控电力,19970609,null
000768.SZ,中航西飞,19970626,null
000769.SZ,*ST大菲,19970530,20050921
000776.SZ,广发证券,19970611,null
000777.SZ,中核科技,19970710,null
000778.SZ,新兴铸管,19970606,null
000779.SZ,甘咨询,19970528,null
000780.SZ,ST平能,19970606,20220124
000782.SZ,恒申新材,19970619,null
000783.SZ,长江证券,19970731,null
000785.SZ,居然之家,19970711,null
000786.SZ,北新建材,19970606,null
000787.SZ,*ST创智,19970626,20130208
000788.SZ,北大医药,19970616,null
000789.SZ,万年青,19970923,null
000790.SZ,华神科技,19980327,null
000791.SZ,甘肃能源,19971014,null
000792.SZ,盐湖股份,19970904,null
000793.SZ,华闻集团,19970729,null
000795.SZ,英洛华,19970808,null
000796.SZ,凯撒旅业,19970703,null
000797.SZ,中国武夷,19970715,null
000798.SZ,中水渔业,19980212,null
000799.SZ,酒鬼酒,19970718,null
000800.SZ,一汽解放,19970618,null
000801.SZ,四川九洲,19980506,null
000802.SZ,北京文化,19980108,null
000803.SZ,山高环能,19980303,null
